RPT_DT,Latitude,Longitude
12/31/2021,40.75484922,-73.98411999
12/28/2021,40.72815345,-73.98201208
12/23/2021,40.73987766,-73.99686917
12/26/2021,40.80722468,-73.91947688
12/26/2021,40.82081337,-73.90790245
12/26/2021,40.6021941,-73.99419996
12/24/2021,40.63313287,-74.11305496
12/22/2021,40.86412697,-73.85188759
12/31/2021,40.81192099,-73.94255158
12/23/2021,40.83914628,-73.90568337
12/23/2021,40.68275791,-73.78311476
12/26/2021,40.7988415,-73.96887128
12/27/2021,40.80680644,-73.93524121
12/24/2021,40.79090425,-73.9708143
12/30/2021,40.68473646,-73.81767556
12/28/2021,40.82220728,-73.93087608
12/27/2021,40.70783821,-73.80532011
12/24/2021,40.70059287,-73.8158542
12/23/2021,40.81039849,-73.92489531
12/26/2021,40.6559709,-73.72734931
12/24/2021,40.81840053,-73.90424956
12/31/2021,40.65763541,-73.88131994
12/24/2021,40.86641857,-73.92155642
12/29/2021,40.64792722,-73.95458119
12/22/2021,40.61374466,-74.08660656
12/31/2021,40.69892587,-73.92888334
12/22/2021,40.63650751,-74.03347351
12/27/2021,40.70562495,-73.92744431
12/26/2021,40.80719919,-73.9183535
12/28/2021,40.66550822,-73.75632739
12/26/2021,40.77787549,-73.9486541
12/25/2021,40.72672466,-73.85326091
12/31/2021,40.60526134,-73.98087115
12/28/2021,40.7504183,-73.87496129
12/24/2021,40.65885573,-73.92169597
12/30/2021,40.87955672,-73.87423024
12/23/2021,40.69099689,-73.80086542
12/24/2021,40.76930609,-73.91550818
12/25/2021,40.71005567,-74.0073994
12/27/2021,40.63125716,-73.9459964
12/23/2021,40.6447949,-73.96061553
12/22/2021,40.82628213,-73.92070764
12/30/2021,40.66640991,-73.95291768
12/26/2021,40.57460019,-73.86197518
12/23/2021,40.75865302,-73.98134328
12/30/2021,40.63482254,-74.14575445
12/27/2021,40.82549764,-73.9512731
12/22/2021,40.59769604,-73.7490633
12/30/2021,40.62514595,-74.00777904
12/28/2021,40.81516668,-73.91773679
12/27/2021,40.69195635,-73.98857037
12/26/2021,40.8640146,-73.85857986
12/31/2021,40.81077874,-73.9079922
12/24/2021,40.62732184,-73.94181705
12/25/2021,40.76164572,-73.98843929
12/30/2021,40.82559011,-73.90906653
12/30/2021,40.73409983,-74.0062402
12/23/2021,40.81985636,-73.92014083
12/25/2021,40.73275904,-73.98131445
12/30/2021,40.88392791,-73.90132352
12/28/2021,40.74751693,-73.86048009
12/24/2021,40.73077588,-73.99282851
12/31/2021,40.86015882,-73.87073132
12/29/2021,40.70172741,-73.83265039
12/23/2021,40.83044254,-73.87134915
12/23/2021,40.83700102,-73.90370601
12/30/2021,40.60180327,-73.98331372
12/31/2021,40.80837414,-73.94688582
12/28/2021,40.65421464,-73.95957562
12/31/2021,40.75502565,-73.99140739
12/26/2021,40.749394,-73.86955673
12/22/2021,40.56351201,-74.13264574
12/30/2021,40.57788334,-74.00697796
12/30/2021,40.82065251,-73.95636013
12/22/2021,40.63676218,-73.92057613
12/30/2021,40.74530132,-73.99848932
12/29/2021,40.63975899,-74.01051197
12/31/2021,40.64340027,-73.94636493
12/22/2021,40.83341833,-73.91300198
12/22/2021,40.71156874,-73.94475543
12/27/2021,40.85279649,-73.90331082
12/30/2021,40.88094379,-73.91804235
12/23/2021,40.75927874,-73.98088829
12/22/2021,40.8630865,-73.92569264
12/28/2021,40.68767073,-73.83406668
12/29/2021,40.79705616,-73.96447666
12/27/2021,40.85671129,-73.89189996
12/28/2021,40.68200096,-73.94822315
12/25/2021,40.76303958,-73.87582201
12/23/2021,40.58409885,-73.93542116
12/22/2021,40.863835,-73.82202188
12/27/2021,40.80778062,-73.94548473
12/27/2021,40.68481436,-73.98763773
12/30/2021,40.72794842,-73.73967555
12/29/2021,40.74963501,-73.90556829
12/22/2021,40.83237722,-73.8985163
12/24/2021,40.63838946,-74.16499935
12/31/2021,40.8621886,-73.89071248
12/31/2021,40.75853264,-73.92707986
12/24/2021,40.8567048,-73.89377974
12/31/2021,40.61356174,-73.98175121
12/27/2021,40.75480202,-73.78722234
12/27/2021,40.82677363,-73.82412641
12/29/2021,40.90785495,-73.90657713
12/26/2021,40.75185031,-73.87427284
12/26/2021,40.74539193,-73.95649243
12/26/2021,40.57311288,-73.99330258
12/24/2021,40.67799651,-73.79865455
12/30/2021,40.86247794,-73.9112431
12/28/2021,40.66903363,-73.89756083
12/23/2021,40.85902536,-73.90467188
12/25/2021,40.59212194,-73.94613606
12/27/2021,40.81393584,-73.90882957
12/28/2021,40.66791021,-73.79291022
12/31/2021,40.77951644,-73.9858906
12/23/2021,40.8621886,-73.89071248
12/28/2021,40.70934849,-73.87752713
12/25/2021,40.84279247,-73.83383518
12/31/2021,40.74062676,-74.00771314
12/30/2021,40.66092426,-73.94920187
12/29/2021,40.64173352,-73.9254635
12/31/2021,40.69979726,-73.9816699
12/29/2021,40.60881425,-73.94293164
12/22/2021,40.72558645,-73.95130646
12/31/2021,40.81216604,-73.94412644
12/28/2021,40.68824334,-73.79127133
12/26/2021,40.76233616,-73.76054682
12/25/2021,40.76904847,-73.99047415
12/22/2021,40.6877854,-73.86986475
12/29/2021,40.80719919,-73.9183535
12/25/2021,40.7251713,-74.00141571
12/24/2021,40.73123133,-74.00963519
12/24/2021,40.77099728,-73.99091433
12/23/2021,40.82015208,-73.89227367
12/30/2021,40.66619241,-73.88013321
12/31/2021,40.78182731,-73.94732225
12/30/2021,40.76279025,-73.92362779
12/23/2021,40.64410021,-73.95987363
12/25/2021,40.77598848,-73.91048101
12/23/2021,40.81973025,-73.82029001
12/24/2021,40.73059628,-73.86340922
12/30/2021,40.86075205,-73.88958329
12/25/2021,40.58715245,-73.94908877
12/27/2021,40.67154448,-73.95765812
12/29/2021,40.71125474,-73.78487607
12/25/2021,40.76124817,-73.99429801
12/30/2021,40.68836548,-73.86127093
12/27/2021,40.83605446,-73.90089582
12/30/2021,40.62382704,-73.94049443
12/31/2021,40.72748462,-73.89278066
12/30/2021,40.74296235,-73.95527425
12/27/2021,40.88901443,-73.82900345
12/23/2021,40.59740454,-73.99730076
12/26/2021,40.76339149,-73.93752516
12/26/2021,40.7197466,-73.94164618
12/22/2021,40.68065754,-73.73797452
12/29/2021,40.70750315,-73.94941886
12/22/2021,40.78414861,-73.97962813
12/24/2021,40.61511807,-73.98194168
12/27/2021,40.72038121,-73.98935194
12/28/2021,40.75593699,-73.9925984
12/25/2021,40.71028054,-73.94289167
12/26/2021,40.80967347,-73.92019279
12/25/2021,40.85972038,-73.85735623
12/28/2021,40.63087219,-74.1032049
12/24/2021,40.69532587,-73.95953988
12/24/2021,40.68773221,-73.93749148
12/26/2021,40.76899132,-73.9566864
12/23/2021,40.81445848,-73.84549534
12/25/2021,40.85409235,-73.86771751
12/22/2021,40.87800313,-73.84689175
12/27/2021,40.67466833,-73.87251485
12/28/2021,40.81700059,-73.91835232
12/27/2021,40.73691705,-73.9519008
12/31/2021,40.69101153,-73.98345727
12/31/2021,40.6386515,-74.13214294
12/31/2021,40.69156446,-73.83713652
12/28/2021,40.75734632,-73.98018137
12/30/2021,40.86915705,-73.899393
12/30/2021,40.64713096,-74.01516177
12/31/2021,40.61106264,-73.99674915
12/22/2021,40.76382636,-73.88009468
12/31/2021,40.73381985,-73.87163312
12/26/2021,40.80065444,-73.95631545
12/23/2021,40.74759271,-73.98939451
12/30/2021,40.87568393,-73.87419779
